iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
62,0.023497331307354864,0.007070421049594484,7.13768902188167,0.021646366097581356,0.0009985278497373468,1.3244649342403105,1.3239865168022353,1.323746419884411,1.3235745149240414,1.3234519140382432,1.3233475541566475,1.323257066300517,1.3232785200580743,1.3238064104777418,1.3243815464157285,1.3236109708627373,1.3248276556683116,1.3247101706488686,1.3248698865609283
63,0.023046450014107777,0.007049357580044932,6.214838526211679,0.02103151713721375,0.0009982481831951274,1.3267057859735552,1.326198073201316,1.3259446487815827,1.3257631418473652,1.3256334904951363,1.3255230914577771,1.3254272515472216,1.325459220802684,1.3259996170047332,1.3266056350617106,1.3258736659197172,1.3270936817995358,1.3269776138723006,1.3271396728484535
64,0.022066561597552357,0.007028387760451725,6.307465541176498,0.02050404662417846,0.0009979442571086772,1.3289421448266023,1.3284051930402965,1.3281380427130383,1.3279466321191047,1.3278097894821335,1.3276931997102595,1.3275917982969119,1.3276322483505294,1.328191147371136,1.3288407227304522,1.328161211653947,1.3293613204295402,1.3292489818947428,1.3294083579849336
65,0.02307575802372349,0.007007445832895607,6.640289852861315,0.021373132332233764,0.0009976160862909245,1.3311835596309591,1.3306153121963546,1.330334064321883,1.3301327339300884,1.3299888835797842,1.3298664085557648,1.3297597241592045,1.329807201828,1.3303897847633526,1.331083024081795,1.3304781674259976,1.3316418999969097,1.3315271169938379,1.3316812810881247
66,0.020914965149038747,0.006986802767548553,5.344884135294706,0.01984286982076048,0.0009972636867364526,1.333419932771889,1.3328158977988556,1.3325192219329225,1.3323072139162948,1.3321556097892737,1.3320267925945355,1.3319146068585106,1.331967351573129,1.3325644432553458,1.3332861378185756,1.3327187368979478,1.3338796525849375,1.3337821462087698,1.3339306664917394
67,0.02084399703978923,0.006966299034135776,6.593723733909428,0.020095201619981896,0.000996887075620718,1.3356517742858975,1.3350100246129153,1.3346961730112732,1.334472126680708,1.3343119622951678,1.3341761355450068,1.3340577352807939,1.3341220517590209,1.3347435122813047,1.3354944624867764,1.3349319531732462,1.3361246645132514,1.3360368236008877,1.3361798753752483
68,0.02609917063158343,0.006945726146043908,6.7993736187927425,0.022359070260339845,0.0009964862712992153,1.3378963021093038,1.337219697646082,1.3368914986115534,1.3366579635788371,1.336491405905762,1.3363504577232317,1.3362276415700776,1.3363029271009448,1.3369397869221078,1.3377075869629356,1.337126637000831,1.338378593772113,1.3383304164710423,1.3384429518190875
69,0.018887001606971158,0.006925485294531471,5.754993814043701,0.01861691304512646,0.0009960612933065818,1.3401241344107246,1.339407650847056,1.3390620291522042,1.3388166632277034,1.3386418385879597,1.3384943017173456,1.3383657500621369,1.338449049776993,1.3390965230806506,1.3398861509812614,1.3393301933868933,1.3406053142401106,1.3405822451080984,1.340683502022683
70,0.024986191466765645,0.006905179997921121,5.899470895063132,0.02188586726771482,0.000995612162355645,1.342361430025689,1.34160793869887,1.3412473833964444,1.3409924979115204,1.3408113319144286,1.3406592017015453,1.340526681156631,1.3406176708835982,1.3412723809039926,1.342080718631392,1.341552437535804,1.3428460965834603,1.3428448781791056,1.3429331341814108
71,0.021962165642890934,0.006884996462619951,6.346577587071806,0.020815662479551175,0.0009951389003364144,1.3446025775408037,1.3438081548372285,1.343431685100678,1.3431668561074641,1.3429790121625418,1.342822074456662,1.3426854036058806,1.3427823130028043,1.3434410076994612,1.3442674723310764,1.3437688239390326,1.345076885787601,1.3450968361754008,1.3451749627991834
